Model,FeaturesBefore,FeaturesAfter,ReductionPercent,AccuracyChange,F1Change,F2Change,FPRChange,FNRChange,AUCChange,TrainingTimeChangeSeconds,InferenceTimeChangeSeconds
CNN,31,15,51.61290322580645,0.0009655075911284561,0.000689216415730276,-0.0004320482487560895,-0.0026705511046370423,0.001354252683732446,0.002051813623158427,-2.465681027400205,-0.20440959979996476
FFNN,31,15,51.61290322580645,-0.011138319457076662,-0.010646036308569307,-0.0029023651696468145,0.02107307598931779,-0.0023781998348472166,-0.003933769290125899,4.4680242523999425,0.03007011119998424
LSTM,31,15,51.61290322580645,-0.0008395718183727974,-0.0035340760047617437,-0.011693189385382108,-0.012138868657441126,0.0184971098265896,0.005699284037297581,-3.978476310800122,-0.008825853399866912
Logistic Regression,31,15,51.61290322580645,-0.011823969775414445,-0.007538650440804706,-0.0007165012246020952,0.025127458120903112,-0.0062758051197357514,-0.06293441061532512,-1.7845185279998985,-0.007841034600050988
Random Forest,31,15,51.61290322580645,-0.003050444273420494,-0.0032505834888137963,-0.0016958230911712224,0.004806991988346679,0.0006606110652353364,-0.002336410451335369,-15.076441296800112,0.04451288820000626
