Dataset,FeatureSet,FeatureCount,Model,Runs,Accuracy_Mean,Accuracy_SD,Accuracy_CI95_Lower,Accuracy_CI95_Upper,Precision_Mean,Precision_SD,Precision_CI95_Lower,Precision_CI95_Upper,Recall_Mean,Recall_SD,Recall_CI95_Lower,Recall_CI95_Upper,F1_Mean,F1_SD,F1_CI95_Lower,F1_CI95_Upper,F2_Mean,F2_SD,F2_CI95_Lower,F2_CI95_Upper,FPR_Mean,FPR_SD,FPR_CI95_Lower,FPR_CI95_Upper,FNR_Mean,FNR_SD,FNR_CI95_Lower,FNR_CI95_Upper,AUC_Mean,AUC_SD,AUC_CI95_Lower,AUC_CI95_Upper,TrainingSeconds_Mean,TrainingSeconds_SD,TrainingSeconds_CI95_Lower,TrainingSeconds_CI95_Upper,InferenceSeconds_Mean,InferenceSeconds_SD,InferenceSeconds_CI95_Lower,InferenceSeconds_CI95_Upper
UNSW,All features,31,CNN,5,0.8518855383754286,0.004010609570549647,0.8483700840880921,0.855400992662765,0.7755213701170133,0.016115603051448903,0.7613954212198077,0.7896473190142188,0.9167630057803468,0.029575028764208856,0.8908393500770599,0.9426866614836336,0.8397897882676212,0.004787716493109318,0.8355931697296701,0.8439864068055722,0.884198523119986,0.017955088279567512,0.8684601943294179,0.8999368519105542,0.19579995144452536,0.02490805929338307,0.1739670748476262,0.21763282804142453,0.08323699421965318,0.02957502876420886,0.0573133385163664,0.10916064992293996,0.9453477239571149,0.000811041689822781,0.944636814571511,0.9460586333427187,20.146756652800196,1.0857859095158193,19.195023340546182,21.09848996505421,0.8414490629999818,0.1516779898499301,0.7084974429699548,0.9744006830300088
UNSW,All features,31,FFNN,5,0.8768767928356537,0.002106146783791173,0.875030673783027,0.8787229118882803,0.8519987354508268,0.005776617481424913,0.8469353069783828,0.8570621639232708,0.8586292320396366,0.012715154273183427,0.8474839079143365,0.8697745561649367,0.8552239384620073,0.003807621079702975,0.8518864114318307,0.8585614654921838,0.8572451544865345,0.009077905255162631,0.8492880196949468,0.8652022892781221,0.1097110949259529,0.0065686871880911496,0.10395338674435543,0.11546880310755038,0.14137076796036332,0.012715154273183411,0.13022544383506318,0.15251609208566347,0.9600212946429199,0.0010302408618534733,0.9591182487116013,0.9609243405742384,40.832134164800024,8.912987983401983,33.01955573549799,48.64471259410206,0.027322372799972072,0.019709988443644837,0.010045806193647817,0.04459893940629633
UNSW,All features,31,LSTM,5,0.8346603232351502,0.00216233890962926,0.8327649496125592,0.8365556968577411,0.7330058688541163,0.0029367216186651723,0.7304317188593475,0.7355800188488851,0.9590751445086706,0.005348247373051166,0.9543871989915128,0.9637630900258284,0.83092828223736,0.002199289002261857,0.8290005204305597,0.8328560440441604,0.9033452499465785,0.0035619817479471396,0.9002230352839533,0.9064674646092037,0.2567856275795096,0.0045876252085283375,0.2527643967854577,0.26080685837356155,0.04092485549132948,0.00534824737305116,0.03623690997417167,0.04561280100848729,0.9188662757770529,0.0023073189203263364,0.9168438215720175,0.9208887299820884,25.673534948199993,5.401622578675999,20.938804000510835,30.40826589588915,0.3354124186000263,0.05985795010657964,0.28294461199064197,0.3878802252094106
UNSW,All features,31,Logistic Regression,5,0.766319177219618,0.0,0.766319177219618,0.766319177219618,0.6538941163133432,0.0,0.6538941163133432,0.6538941163133432,0.9526011560693641,0.0,0.9526011560693641,0.9526011560693641,0.7754772788383975,0.0,0.7754772788383975,0.7754772788383975,0.8728549378045457,1.2412670766236366e-16,0.8728549378045456,0.8728549378045458,0.3705996601116776,0.0,0.3705996601116776,0.3705996601116776,0.047398843930635835,0.0,0.047398843930635835,0.047398843930635835,0.8689811710209219,0.0,0.8689811710209219,0.8689811710209219,2.3025604966000173,0.5715127563591831,1.8016074782948732,2.8035135149051613,0.010481174000005922,0.0031985771644308728,0.007677497499395108,0.013284850500616736
UNSW,All features,31,Random Forest,5,0.900426782341006,0.0012222748367409452,0.8993554112091271,0.901498153472885,0.8840751187126268,0.001098009051815494,0.8831126713437571,0.8850375660814964,0.8803963666391412,0.002017298957503211,0.8786281261399739,0.8821646071383086,0.8822315720159761,0.0015085320049462877,0.8809092854131328,0.8835538586188194,0.8811294516497782,0.0018072532130669016,0.8795453243632849,0.8827135789362714,0.08485069191551348,0.0007482901193213121,0.08419478670662547,0.08550659712440148,0.1196036333608588,0.002017298957503218,0.11783539286169148,0.12137187386002612,0.9724209434878027,0.00011470350608792244,0.9723204014317496,0.9725214855438559,37.315319064599954,0.9883138922410466,36.44902374250587,38.18161438669404,0.33765207839987854,0.10294361811838298,0.2474180186385851,0.427886138161172
UNSW,SHAP refined,15,CNN,5,0.852851045966557,0.002494990761987426,0.8506640901393182,0.8550380017937959,0.7775966699179742,0.015859994887774266,0.763694771454764,0.7914985683811843,0.9154087530966143,0.027065762197865693,0.8916845665148038,0.9391329396784248,0.8404790046833515,0.0031609102479745843,0.8377083446907346,0.8432496646759683,0.88376647487123,0.01639953652731778,0.8693916473091972,0.8981413024332627,0.19312940033988832,0.022796039070734502,0.17314779109176615,0.2131110095880105,0.08459124690338563,0.02706576219786568,0.06086706032157509,0.10831543348519616,0.9473995375802733,0.0006769964227242265,0.9468061240517529,0.9479929511087937,17.68107562539999,0.5348640517017471,17.212246613096173,18.14990463770381,0.637039463200017,0.026548753637373645,0.6137684546024006,0.6603104717976335
UNSW,SHAP refined,15,FFNN,5,0.865738473378577,0.0035674942374538275,0.8626114268058571,0.8688655199512969,0.8288897544119967,0.010109882758463005,0.820028051455746,0.8377514573682475,0.8610074318744839,0.007122278868519111,0.854764479190234,0.8672503845587338,0.844577902153438,0.0029523911977622744,0.8419900171670055,0.8471657871398705,0.8543427893168877,0.003911003244539232,0.850914643823803,0.8577709348099724,0.1307841709152707,0.010293588843633532,0.12176144247564587,0.13980689935489551,0.1389925681255161,0.007122278868519074,0.1327496154412663,0.14523552080976593,0.956087525352794,0.0014104419274351791,0.9548512184937941,0.9573238322117938,45.30015841719997,11.035851802274326,35.626807807956375,54.97350902644356,0.05739248399995631,0.03213163079084438,0.029227867814865,0.08555710018504763
UNSW,SHAP refined,15,LSTM,5,0.8338207514167774,0.002643133047644056,0.8315039431508789,0.8361375596826758,0.7391429876209233,0.013577112832327458,0.7272421235062659,0.7510438517355807,0.9405780346820809,0.028719823886678885,0.9154039991052059,0.9657520702589559,0.8273942062325983,0.0033516606287422646,0.8244563461592743,0.8303320663059223,0.8916520605611964,0.016894452600507443,0.8768434199339024,0.9064607011884904,0.2446467589220685,0.02439725376580206,0.22326162311128722,0.26603189473284977,0.05942196531791908,0.02871982388667888,0.0342479297410441,0.08459600089479406,0.9245655598143505,0.0030889801694661914,0.9218579493154411,0.92727317031326,21.69505863739987,2.9612231132062763,19.09943213575214,24.290685139047604,0.3265865652001594,0.018091660176912962,0.3107285258634493,0.3424446045368695
UNSW,SHAP refined,15,Logistic Regression,5,0.7544952074442035,0.0,0.7544952074442035,0.7544952074442035,0.6404147363776749,0.0,0.6404147363776749,0.6404147363776749,0.9588769611890999,0.0,0.9588769611890999,0.9588769611890999,0.7679386283975927,0.0,0.7679386283975927,0.7679386283975927,0.8721384365799436,1.2412670766236366e-16,0.8721384365799435,0.8721384365799437,0.3957271182325807,0.0,0.3957271182325807,0.3957271182325807,0.041123038810900084,0.0,0.041123038810900084,0.041123038810900084,0.8060467604055968,1.2412670766236366e-16,0.8060467604055966,0.8060467604055969,0.5180419686001188,0.04609245951612189,0.47764014649066217,0.5584437907095754,0.0026401393999549326,0.001419041467453458,0.0013962947117810737,0.0038839840881287916
UNSW,SHAP refined,15,Random Forest,5,0.8973763380675855,0.000771830427231341,0.8966997988690479,0.8980528772661232,0.8782280522990542,0.0011398658495544525,0.8772289158293192,0.8792271887687892,0.8797357555739058,0.0009371600963904958,0.8789142985308247,0.8805572126169869,0.8789809885271623,0.0008911129200868815,0.8781998936137049,0.8797620834406198,0.879433628558607,0.0008794514035036485,0.8786627554151194,0.8802045017020945,0.08965768390386016,0.0009148552406611686,0.08885577792884555,0.09045958987887476,0.12026424442609414,0.0009371600963904933,0.11944278738301302,0.12108570146917526,0.9700845330364674,9.479432624057615e-05,0.9700014421459842,0.9701676239269506,22.238877767799842,1.0660402744203028,21.30445226782016,23.173303267779524,0.3821649665998848,0.10714807059681684,0.2882455417510127,0.4760843914487569
