Model,FeaturesBefore,FeaturesAfter,ReductionPercent,AccuracyChange,F1Change,F2Change,FPRChange,FNRChange,AUCChange,TrainingTimeChangeSeconds,InferenceTimeChangeSeconds
CNN,77,15,80.51948051948052,-0.004805458768873283,-0.013143509243911167,-0.010196341283671528,0.004008551576696953,0.008313725490196072,-0.0009277796990879716,-10.268396882599973,0.34335418039972865
FFNN,77,15,80.51948051948052,-0.013037166085946739,-0.03614394765592788,-0.04469061506814087,0.004578656689827187,0.05027450980392156,-0.0023799547968126333,9.787706310600065,0.028282967600080155
LSTM,77,15,80.51948051948052,-0.010801393728222974,-0.03936370002419509,-0.07610016326998525,-0.008783181899162659,0.09701960784313726,-0.0016831270544918064,-0.7188789994001148,-0.022312663400134602
Logistic Regression,77,15,80.51948051948052,-0.03150406504065051,-0.06344850637920718,-0.04000184318117461,0.0344735435595938,0.01843137254901961,-0.005638154424428055,-3.338991336800155,-0.01254333860006227
Random Forest,77,15,80.51948051948052,-0.00435540069686402,-0.011745473130725603,-0.010485902281341941,0.003153393907001603,0.009647058823529411,-0.00158634193032281,-12.010127664000084,-0.02696359679985108
