Dataset,FeatureSet,FeatureCount,Model,Runs,Accuracy_Mean,Accuracy_SD,Accuracy_CI95_Lower,Accuracy_CI95_Upper,Precision_Mean,Precision_SD,Precision_CI95_Lower,Precision_CI95_Upper,Recall_Mean,Recall_SD,Recall_CI95_Lower,Recall_CI95_Upper,F1_Mean,F1_SD,F1_CI95_Lower,F1_CI95_Upper,F2_Mean,F2_SD,F2_CI95_Lower,F2_CI95_Upper,FPR_Mean,FPR_SD,FPR_CI95_Lower,FPR_CI95_Upper,FNR_Mean,FNR_SD,FNR_CI95_Lower,FNR_CI95_Upper,AUC_Mean,AUC_SD,AUC_CI95_Lower,AUC_CI95_Upper,TrainingSeconds_Mean,TrainingSeconds_SD,TrainingSeconds_CI95_Lower,TrainingSeconds_CI95_Upper,InferenceSeconds_Mean,InferenceSeconds_SD,InferenceSeconds_CI95_Lower,InferenceSeconds_CI95_Upper
CICIDS,All features,77,CNN,5,0.98311556329849,0.002055464080580878,0.9813138695939707,0.9849172570030094,0.9843047703009604,0.012151230375636922,0.9736537472659281,0.9949557933359927,0.923686274509804,0.010781104691892533,0.9142362195880674,0.9331363294315406,0.9529487345529413,0.005646038405123602,0.9479997636873884,0.9578977054184942,0.9351543259181803,0.007916682572136754,0.9282150476862466,0.9420936041501139,0.0033849991092107607,0.00270996182882171,0.001009612833866164,0.005760385384555358,0.07631372549019608,0.010781104691892529,0.06686367056845954,0.08576378041193261,0.9969078225268373,0.0002704282302080243,0.9966707817317715,0.9971448633219031,27.93459103060004,4.585716589270154,23.915033215090673,31.954148846109405,0.6355881609999414,0.046391832358555776,0.5949239270241754,0.6762523949757074
CICIDS,All features,77,FFNN,5,0.9931765389082463,0.0009352568762140672,0.992356750111204,0.9939963277052887,0.984488199346932,0.004709070923682142,0.9803605166900133,0.9886158820038506,0.9785882352941178,0.006129450654098646,0.973215534909818,0.9839609356784175,0.9815102115256767,0.00255898098000445,0.9792671657993045,0.983753257252049,0.9797504158235391,0.004444833888800556,0.9758543471397103,0.9836464845073678,0.003509709602708,0.0010884409331270927,0.002555649059649531,0.004463770145766469,0.021411764705882352,0.00612945065409865,0.016039064321582662,0.026784465090182043,0.9991256432022301,0.0002323042775293681,0.9989220195250704,0.9993292668793897,35.45715929819998,16.116369502273653,21.330538577225354,49.58378001917461,0.025940417400033767,0.010048188808012682,0.017132791575649942,0.03474804322441759
CICIDS,All features,77,LSTM,5,0.9645325203252033,0.01800390339995314,0.9487514031950505,0.9803136374553562,0.9422154681788483,0.029174508594509384,0.9166428838832781,0.9677880524744185,0.8603137254901961,0.08354202243018934,0.7870859141665636,0.9335415368138287,0.8982044238710938,0.056906379303821183,0.8483237831402151,0.9480850646019725,0.8748390836282495,0.07345922145719662,0.8104492370292684,0.9392289302272305,0.011794049527881703,0.005266817272132531,0.00717748064122283,0.016410618414540577,0.13968627450980392,0.08354202243018934,0.06645846318617143,0.2129140858334364,0.9879245344316241,0.007043740911653689,0.9817504233018374,0.9940986455614108,21.923136451999927,7.27369488565579,15.547461776927715,28.29881112707214,0.33073088640003334,0.007797567246383268,0.3238960173545941,0.33756575544547257
CICIDS,All features,77,Logistic Regression,5,0.9426538908246226,0.0,0.9426538908246226,0.9426538908246226,0.7736318407960199,0.0,0.7736318407960199,0.7736318407960199,0.975686274509804,1.2412670766236366e-16,0.9756862745098039,0.9756862745098042,0.8629899410336455,0.0,0.8629899410336455,0.8629899410336455,0.9272510435301132,1.2412670766236366e-16,0.9272510435301131,0.9272510435301133,0.06484945661856405,0.0,0.06484945661856405,0.06484945661856405,0.02431372549019608,0.0,0.02431372549019608,0.02431372549019608,0.9927308803442989,1.2412670766236366e-16,0.9927308803442988,0.992730880344299,4.192421872400155,0.7621376163293845,3.5243787972178695,4.860464947582441,0.014690027400138205,0.008432467475487572,0.007298643766785674,0.022081411033490737
CICIDS,All features,77,Random Forest,5,0.9977642276422765,6.0733161043425424e-05,0.9977109926794565,0.9978174626050964,0.9955154652758689,0.0003500259337642455,0.9952086540174093,0.9958222765343284,0.9923921568627451,0.00021479315980593456,0.9922038823570253,0.9925804313684649,0.9939513113021332,0.00016361726359855134,0.9938078944472433,0.9940947281570232,0.9930152202601779,0.00015723653186342472,0.992877396363251,0.9931530441571047,0.0010154997327632281,7.967461170496309e-05,0.0009456618564047746,0.0010853376091216817,0.007607843137254902,0.0002147931598059474,0.007419568631535097,0.007796117642974707,0.9999620523784072,2.3981131961939595e-06,0.9999599503395105,0.9999641544173039,23.088246934399923,0.6448667180382346,22.522996333759334,23.65349753504051,0.1664828510000916,0.047031588309872606,0.12525784620823305,0.20770785579195017
CICIDS,SHAP refined,15,CNN,5,0.9783101045296168,0.0010698103035389063,0.9773723744534136,0.9792478346058199,0.9659062661325913,0.010819920519312564,0.9564221876379989,0.9753903446271838,0.9153725490196079,0.01613428843675003,0.9012302216600484,0.9295148763791673,0.9398052253090301,0.003802646926035624,0.9364720583167799,0.9431383923012803,0.9249579846345087,0.0113796067080986,0.9149833195651524,0.934932649703865,0.007393550685907714,0.0024500752787235108,0.005245965015606448,0.00954113635620898,0.08462745098039215,0.016134288436750042,0.07048512362083269,0.09876977833995161,0.9959800428277493,0.0005146003693736057,0.9955289757161403,0.9964311099393584,17.666194148000066,1.441135368689559,16.40298330152579,18.929404994474343,0.9789423413996701,0.3629297831395407,0.6608203602652363,1.2970643225341039
CICIDS,SHAP refined,15,FFNN,5,0.9801393728222996,0.000719703516721554,0.9795085248753819,0.9807702207692173,0.9630623080494647,0.0021273491211188347,0.9611976043287598,0.9649270117701696,0.9283137254901961,0.003055302146005082,0.9256356350804109,0.9309918158999813,0.9453662638697489,0.0020152667551389183,0.9435998046744928,0.947132723065005,0.9350598007553982,0.0025726439109328546,0.9328047789420334,0.937314822568763,0.008088366292535187,0.0004813559980796828,0.007666439157166483,0.008510293427903892,0.07168627450980392,0.0030553021460050906,0.06900818410001872,0.07436436491958912,0.9967456884054174,0.00016522703799729479,0.9966008605210538,0.9968905162897811,45.24486560880005,4.339634032700038,41.44100866452123,49.04872255307887,0.05422338500011392,0.027376487643661275,0.030226835556401342,0.0782199344438265
CICIDS,SHAP refined,15,LSTM,5,0.9537311265969803,0.00610049843519569,0.9483838039514707,0.95907844924249,0.9833556986119145,0.01024306838867293,0.9743772533035358,0.9923341439202933,0.7632941176470587,0.03963559501454294,0.7285519868128402,0.7980362484812772,0.8588407238468987,0.02214010650386714,0.8394340648435797,0.8782473828502176,0.7987389203582642,0.03369616378000252,0.7692029305433878,0.8282749101731406,0.003010867628719045,0.001916128858949981,0.0013313066308726297,0.004690428626565461,0.23670588235294118,0.03963559501454295,0.20196375151872262,0.2714480131871597,0.9862414073771323,0.004433598240378493,0.9823551871733717,0.9901276275808929,21.204257452599812,1.0332056011119226,20.298612812742455,22.10990209245717,0.30841822299989874,0.00960935870179346,0.29999524872316213,0.31684119727663534
CICIDS,SHAP refined,15,Logistic Regression,5,0.9111498257839721,0.0,0.9111498257839721,0.9111498257839721,0.6864454443194601,0.0,0.6864454443194601,0.6864454443194601,0.9572549019607843,0.0,0.9572549019607843,0.9572549019607843,0.7995414346544383,0.0,0.7995414346544383,0.7995414346544383,0.8872492003489386,0.0,0.8872492003489386,0.8872492003489386,0.09932300017815784,0.0,0.09932300017815784,0.09932300017815784,0.04274509803921569,0.0,0.04274509803921569,0.04274509803921569,0.9870927259198709,1.2412670766236366e-16,0.9870927259198707,0.987092725919871,0.8534305356000005,0.07067521129771225,0.7914809814999489,0.915380089700052,0.0021466888000759355,0.0014493576956121474,0.0008762707662842613,0.00341710683386761
CICIDS,SHAP refined,15,Random Forest,5,0.9934088269454124,6.0733161043425424e-05,0.9933555919825925,0.9934620619082324,0.9816672119466983,0.00017209049872249019,0.9815163679737555,0.981818055919641,0.9827450980392157,0.00027729677693592354,0.9825020366974929,0.9829881593809385,0.9822058381714076,0.00016524204172120246,0.9820609971357,0.9823506792071152,0.9825293179788359,0.0002254048469644004,0.9823317419192099,0.9827268940384619,0.004168893639764831,3.983730585248142e-05,0.004133974701585605,0.0042038125779440575,0.017254901960784313,0.0002772967769359015,0.017011840619061566,0.01749796330250706,0.9983757104480844,0.00016972666829096506,0.9982269384638702,0.9985244824322985,11.078119270399839,0.1597826716818381,10.938063583521048,11.21817495727863,0.13951925420024053,0.003724928596831525,0.13625421032713203,0.14278429807334903
